date,fingerprint,type,bytes,num_instances,coverage
2023-05-07,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,read,6792502316819.84,12.00,12.00
2023-05-07,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,write,6786918756851.08,12.00,12.00
2023-05-08,5481936581E23D2D178105D44DB6915AB06BFB7F,dirreq-read,16870225103.41,12.00,12.00
2023-05-08,5481936581E23D2D178105D44DB6915AB06BFB7F,dirreq-write,317644946864.62,12.00,12.00
2023-05-08,5481936581E23D2D178105D44DB6915AB06BFB7F,read,27043091776626.80,12.00,12.00
2023-05-08,5481936581E23D2D178105D44DB6915AB06BFB7F,write,27160245986148.95,12.00,12.00
2023-05-08,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,dirreq-read,3138279511.94,12.00,12.00
2023-05-08,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,dirreq-write,80245469174.77,12.00,12.00
2023-05-08,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,read,7116052188529.91,12.00,12.00
2023-05-08,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,write,7110321723092.61,12.00,12.00
2023-05-09,5481936581E23D2D178105D44DB6915AB06BFB7F,dirreq-read,16701421848.72,12.00,12.00
2023-05-09,5481936581E23D2D178105D44DB6915AB06BFB7F,dirreq-write,316926147841.45,12.00,12.00
2023-05-09,5481936581E23D2D178105D44DB6915AB06BFB7F,read,27340814026504.23,12.00,12.00
2023-05-09,5481936581E23D2D178105D44DB6915AB06BFB7F,write,27458258968250.03,12.00,12.00
2023-05-09,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,dirreq-read,3056219488.70,12.00,12.00
2023-05-09,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,dirreq-write,79094988155.34,12.00,12.00
2023-05-09,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,read,7443809192682.07,12.00,12.00
2023-05-09,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,write,7426278132499.20,12.00,12.00
